Date,Close,High,Low,Open,Volume,Stock
,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,
2015-01-02,1002.0488891601562,1006.5163385945237,990.8414750932031,990.9968267018456,925740,TCS
2015-01-05,986.8212280273438,1009.9936677016161,980.7609947721573,1002.6515459260207,1754242,TCS
2015-01-06,950.4401245117188,982.4892159620673,947.8761592587928,982.4892159620673,2423784,TCS
2015-01-07,939.2129516601562,963.0846442544066,935.2310957851746,959.5301474346047,2636332,TCS
2015-01-08,949.3526611328125,951.3727067110698,940.3206417653023,948.8087406956414,1565408,TCS
2015-01-09,975.9628295898438,978.915173815223,951.7608908261026,953.7032599910539,3197642,TCS
2015-01-12,974.95263671875,982.0617259342681,963.5121027486031,977.7885143103454,1596006,TCS
2015-01-13,970.368896484375,982.9942979690987,963.4541370834717,978.9542074308906,1468432,TCS
2015-01-14,979.7117919921875,983.5382980739671,971.3790453050545,977.4003911167836,1787096,TCS
2015-01-15,986.3740234375,1002.9423957568321,980.2166747723159,984.004294936402,5009920,TCS
2015-01-16,983.6738891601562,988.6658153987693,965.0854748408096,988.1607804931833,5293830,TCS
2015-01-19,975.4576416015625,990.9965924833078,972.3498514252135,985.1694859026534,1135074,TCS
2015-01-20,971.3594360351562,982.8388574693051,964.6777046682419,978.9541189022327,2058566,TCS
2015-01-21,976.5458984375,979.7313660676782,966.6203693964711,979.7313660676782,2310480,TCS
2015-01-22,976.4487915039062,979.4400221817764,969.4368171956859,977.5947707765752,2113214,TCS
2015-01-23,972.5835571289062,983.6356236058125,969.6700020905854,976.6236488451299,3150380,TCS
2015-01-27,973.92626953125,978.967055042852,969.0606281045957,977.935577073225,2738736,TCS
2015-01-28,988.5426025390625,990.6055583263004,974.257004337443,974.2959674788088,3121980,TCS
2015-01-29,990.5082397460938,999.869752113124,978.1495115049424,987.9197567257283,3734392,TCS
2015-01-30,966.1408081054688,1002.3216824520432,961.4503128763288,996.7553721605665,5817402,TCS
2015-02-02,978.6553955078125,981.4774668447102,958.3559824559078,966.1215252662053,3181802,TCS
2015-02-03,995.8020629882812,998.4295090647676,975.891898510394,977.6629157659421,2345054,TCS
2015-02-04,978.6943969726562,1001.037379798747,973.9455509227113,999.5971692388839,2245418,TCS
2015-02-05,993.52490234375,1008.8224962428149,980.52394795416,980.9131992236933,4530168,TCS
2015-02-06,1002.6138916015625,1010.0291468051987,992.9215736400498,993.7584258017233,2136416,TCS
2015-02-09,978.149658203125,1000.0256596246694,973.1283539097768,997.0673114159573,2076432,TCS
2015-02-10,950.2205200195312,983.3458348439086,947.0481607818821,977.0205029028048,3799054,TCS
2015-02-11,957.5194702148438,968.1655338994615,952.5954780723519,955.631657965054,2937522,TCS
2015-02-12,958.39501953125,965.2653617750425,952.4979005382863,965.2653617750425,3107980,TCS
2015-02-13,988.2113647460938,991.7146251233326,957.6551492335115,961.4503479755201,4158326,TCS
2015-02-16,1006.1365966796875,1010.1069402128447,994.5368910380803,996.4831471849259,2364392,TCS
2015-02-18,1025.93017578125,1028.7912109186482,998.5269216076665,1006.2341165415049,2660014,TCS
2015-02-19,1043.6024169921875,1046.0352380837044,1025.677372183477,1026.0666235581198,2618002,TCS
2015-02-20,1041.4609375,1050.5110267732246,1028.4988551474294,1050.5110267732246,1801588,TCS
2015-02-23,1049.6744384765625,1059.5419965527974,1039.6901810406032,1039.6901810406032,1614892,TCS
2015-02-24,1052.8272705078125,1062.6558641228685,1042.804051276617,1048.6428197608086,2199922,TCS
2015-02-25,1040.1572265625,1059.5419588498512,1038.464040554177,1054.8709436014315,1767994,TCS
2015-02-26,1034.0264892578125,1048.1563289835995,1021.9208321069946,1042.8041241656533,1991994,TCS
2015-02-27,1036.3232421875,1041.5391716229622,1018.3982007188866,1035.194356392145,2877376,TCS
2015-03-02,1039.0675048828125,1054.462414621796,1032.5086767226896,1043.0768127525753,2176038,TCS
2015-03-03,1080.56201171875,1086.0115319507609,1041.6952169083208,1043.9723758752475,3424308,TCS
2015-03-04,1068.8837890625,1094.6133312475743,1057.0699771975221,1085.2323393686272,3862994,TCS
2015-03-05,1049.5965576171875,1078.4984641291949,1043.6021261312198,1070.4409819261962,2173514,TCS
2015-03-09,1030.2705078125,1043.1158025573243,1015.9460389088276,1027.6235795859407,2883174,TCS
2015-03-10,1028.67431640625,1042.512218117439,1010.2043625760416,1031.0876552836555,3037052,TCS
2015-03-11,1014.6028442382812,1035.3888225563933,1011.1968958694493,1028.4017817661693,2240200,TCS
2015-03-12,1019.4686889648438,1021.7457521683053,1008.1998822538023,1021.356500848186,1827636,TCS
2015-03-13,1005.1829833984375,1027.60379793195,1002.3219487551934,1026.844777016,1586838,TCS
2015-03-16,997.378662109375,1015.9459308038613,993.3693545637755,1006.2924791982404,1556296,TCS
2015-03-17,1005.70849609375,1014.6612753820975,995.6074445552633,1005.2414135720721,1267318,TCS
2015-03-18,996.22998046875,1011.8388947479078,993.2521521170559,1008.5302599340389,1255170,TCS
2015-03-19,1010.5934448242188,1014.3302944192418,999.6360613746142,1002.7111078929946,2448964,TCS
2015-03-20,1016.3151245117188,1019.0593637298446,1003.8202214179623,1010.4958396648879,1963908,TCS
2015-03-23,1018.7289428710938,1024.1201110771553,1014.3888291398962,1018.2813419147999,1566608,TCS
2015-03-24,1008.6666259765625,1026.455386323584,1005.0855340409216,1023.7306279981138,2394878,TCS
2015-03-25,1001.835205078125,1017.502564769002,990.7220650984397,1008.7054502589544,2224858,TCS
2015-03-26,978.227294921875,1006.8761281611008,973.5173170703748,993.8751752142397,3091642,TCS
2015-03-27,978.8889770507812,1001.1151644662403,974.7240080457859,985.1948277438808,2751776,TCS
2015-03-30,998.0987548828125,1000.336950019271,980.9133467609175,982.8596034013161,1339006,TCS
2015-03-31,994.1280517578125,1000.161445166785,981.3022441303057,1000.161445166785,2427028,TCS
2015-04-01,989.729736328125,997.8846267294934,981.7890481707864,995.7047815327076,2075758,TCS
2015-04-06,991.5399169921875,997.6121806295587,973.1672734991186,995.7048871540898,1568542,TCS
2015-04-07,1006.2147827148438,1011.6643018475354,990.2554766833898,997.4371453911297,1886922,TCS
2015-04-08,1028.16845703125,1034.0461903099072,1008.4918777133432,1009.717981428157,1652134,TCS
2015-04-09,1037.1796875,1046.0935052633845,1025.7356409689432,1035.0193235347233,2544450,TCS
2015-04-10,1032.9757080078125,1039.6124621330316,1022.9524863474446,1030.9321385430774,1815544,TCS
2015-04-13,1033.656982421875,1037.354870327357,1022.9525700639005,1036.9656189688853,1308642,TCS
2015-04-15,1022.8548583984375,1056.388811842584,1015.7120607427318,1033.3451594125193,2913934,TCS
2015-04-16,1005.3580932617188,1022.5629785770103,1000.9011856961025,1022.5434970091528,3217570,TCS
2015-04-17,963.3381958007812,996.4828914630049,961.4502898100086,995.354101200325,9668742,TCS
2015-04-20,945.4132080078125,966.8608892601666,943.8756849784144,965.3623293584063,2890722,TCS
2015-04-21,944.732421875,954.4442231654799,934.5924061257411,945.4136116753832,2546032,TCS
2015-04-22,951.7579956054688,962.6180643436481,937.141596366108,946.4641421154794,4186812,TCS
2015-04-23,956.48779296875,965.2654291209326,946.5424028725623,962.2292498601079,4342990,TCS
2015-04-24,970.422607421875,978.5774000828279,952.711679934298,955.7283763744896,3625158,TCS
2015-04-27,973.2061157226562,980.9133107420412,967.6787660732994,972.9336588094175,2733052,TCS
2015-04-28,971.1818237304688,977.0205922098102,955.650737588236,977.0205922098102,3088298,TCS
2015-04-29,968.1845703125,971.1817856747083,954.0742137070057,966.9000222909721,2019620,TCS
2015-04-30,958.998046875,969.2353712078158,944.7515116909162,965.3428596768607,3738054,TCS
2015-05-04,965.9467163085938,974.9968102870652,956.4684078279907,969.6251225966554,1890630,TCS
2015-05-05,980.0763549804688,987.316371633459,973.1281817499545,973.5174330226545,3255070,TCS
2015-05-06,958.7457275390625,978.9673197700426,955.9236547484729,978.9673197700426,3394406,TCS
2015-05-07,990.7417602539062,994.0503959329783,955.1057887276091,959.465383792448,3205028,TCS
2015-05-08,983.7351684570312,1007.3821806179827,979.4728865060329,996.4831462063507,3003664,TCS
2015-05-11,994.9263305664062,997.670571259239,982.8595401722127,986.7520532025977,2573082,TCS
2015-05-12,982.0423583984375,998.4298810079315,978.1888073968545,996.4836239299433,2467386,TCS
2015-05-13,979.12255859375,991.4229361361722,965.5182463799157,991.4229361361722,1863774,TCS
2015-05-14,972.8362426757812,980.9132065791612,967.2894120433396,980.9132065791612,1309050,TCS
2015-05-15,977.4685668945312,985.740158736628,973.5177033921951,978.9672227234589,1461454,TCS
2015-05-18,981.0689086914062,982.9568154518529,971.9994297026823,978.6167016015761,4507752,TCS
2015-05-19,978.0714721679688,984.8055369408082,971.8629345284438,980.6794362040539,1957722,TCS
2015-05-20,995.334716796875,1000.3365372797074,979.706225403563,980.9129420355431,1897814,TCS
2015-05-21,994.73193359375,1004.2685927105753,991.8708978458711,995.3158106825352,1579578,TCS
2015-05-22,1019.0208129882812,1023.2442270786272,988.4062400796593,992.5906910320492,2691632,TCS
2015-05-25,1012.442626953125,1026.4167105503057,1006.4870630822837,1019.8384016213715,982978,TCS
2015-05-26,1015.4983520507812,1021.1035330893191,1007.7327121310574,1013.9996964443633,1961740,TCS
2015-05-27,1017.9895629882812,1024.957123934442,1008.9394693683681,1015.1674907842223,1620690,TCS
2015-05-28,1015.7514038085938,1021.0062970645494,1005.1443044586094,1013.5715582229257,2763608,TCS
2015-05-29,1016.0624389648438,1030.9707791161027,1010.9826917354524,1018.6704030307744,4423532,TCS
2015-06-01,1018.9625854492188,1030.387149059571,1015.3036612604468,1015.7317806690598,882264,TCS
2015-06-02,1012.0140380859375,1023.7305358435711,1008.355115248202,1018.2810196831872,3935820,TCS
2015-06-03,1016.2959594726562,1022.0180283601466,1008.3552726975797,1013.6101641013308,1804684,TCS
2015-06-04,1014.252685546875,1020.9284028462918,1007.5770632795209,1018.7096892814494,4131468,TCS
2015-06-05,1011.9738159179688,1024.99741275019,1009.675488987347,1018.3186254689507,2308534,TCS
2015-06-08,1012.6019897460938,1017.5325236674186,1006.3946292989314,1017.5325236674186,1570320,TCS
2015-06-09,1006.3949584960938,1017.5328565078468,1002.210933185914,1015.5685073640093,2578914,TCS
2015-06-10,1021.7568359375,1025.390884089926,1007.2403060144317,1008.1046009864943,2763350,TCS
2015-06-11,1010.1865234375,1026.569181198903,1004.4702464716016,1023.6226565685961,1847336,TCS
2015-06-12,984.4534912109375,1017.1205875718123,973.0602632243435,1010.4221360724541,2571456,TCS
2015-06-15,984.0607299804688,990.2091067068741,974.7104054169041,984.2571649674531,2525176,TCS
2015-06-16,986.8897094726562,989.7576804388683,979.9948199068843,982.1752681853666,1267396,TCS
2015-06-17,987.5965576171875,993.6270541552977,982.8821179397235,990.4252022405617,1975720,TCS
2015-06-18,993.9803466796875,1000.3644815077816,985.3175476221609,988.067636471186,2165046,TCS
2015-06-19,1001.6417236328125,1003.782845941049,992.8218113515826,995.9254459728216,1999610,TCS
2015-06-22,1018.1223754882812,1021.4617697354934,1000.6396644293468,1000.6396644293468,1102002,TCS
2015-06-23,1011.4829711914062,1024.604788630516,1008.5756761283473,1021.4618291561892,898318,TCS
2015-06-24,1009.7936401367188,1016.7080936284498,1005.2952984436907,1013.6044594250978,1170246,TCS
2015-06-25,1001.8179931640625,1010.8539985926011,999.5196664606123,1006.5324307789523,1930992,TCS
2015-06-26,1018.6331787109375,1020.0278861524181,1001.896881244191,1001.896881244191,1290102,TCS
2015-06-29,1018.6722412109375,1023.0331351069694,999.2251827670839,1010.4612993452862,1372756,TCS
2015-06-30,1002.1913452148438,1017.0418450323108,997.8894394522721,1015.5685830646155,1549952,TCS
2015-07-01,1018.7507934570312,1024.6045155516188,1004.4699367855067,1007.2789177008285,1279708,TCS
2015-07-02,1012.7205200195312,1022.620823639063,1010.0883105209815,1021.4618764623339,1445880,TCS
2015-07-03,1022.9938354492188,1025.3903800676833,1009.6755849708604,1010.8738572800927,963470,TCS
2015-07-06,1034.54443359375,1039.1409927149061,1013.7223267453984,1013.7223267453984,1182338,TCS
2015-07-07,1027.8458251953125,1039.8872486703885,1022.6402992769798,1034.328178225689,1642836,TCS
2015-07-08,1019.5369262695312,1029.9872102169725,1013.8009861795394,1020.6565481662985,2667850,TCS
2015-07-09,991.0142822265625,1020.7741759346545,984.7872561999898,1019.4973488118651,3934122,TCS
2015-07-10,972.0973510742188,1005.3537386464525,964.4952826795783,1005.3537386464525,8263654,TCS
2015-07-13,985.9268188476562,989.4823111382746,972.5102522793809,972.5102522793809,2280308,TCS
2015-07-14,981.9783325195312,988.067816077864,978.2460684031337,986.4963364499071,1703274,TCS
2015-07-15,1000.1485595703125,1001.7985939864242,982.1747614360331,982.5676313406075,2003660,TCS
2015-07-16,997.9683837890625,1005.2954670510926,992.6254091832662,999.3434288289817,1456608,TCS
2015-07-17,1007.4755859375,1009.7150212171421,999.1860881628272,1000.561132884814,1070526,TCS
2015-07-20,1015.4482421875,1017.3183851931499,1004.7195270498246,1009.4835087339333,853786,TCS
2015-07-21,1008.4595947265625,1023.7948409500914,1005.9792719639204,1014.2078609586014,1274500,TCS
2015-07-22,995.3294067382812,1011.451987311699,992.5734067728544,1008.3022730654967,1320628,TCS
2015-07-23,979.7973022460938,999.187728687476,977.5924640396355,991.1756054046647,1496780,TCS
2015-07-24,986.3132934570312,990.7819889989313,981.1753989828295,983.3014176534198,1574972,TCS
2015-07-27,983.12451171875,986.2545218151458,976.8643954042838,979.5613773557217,2003738,TCS
2015-07-28,985.09326171875,991.7667024413671,981.1954309793712,984.0892706439846,1891188,TCS
2015-07-29,986.9429931640625,990.2108399911643,977.7891387345963,988.616278382352,2413318,TCS
2015-07-30,976.6672973632812,990.9001263621751,973.5766979157092,990.6048406500195,2770574,TCS
2015-07-31,988.5181274414062,991.7662702478949,979.1674133015143,980.30914626362,1963776,TCS
2015-08-03,988.0655517578125,994.1287141797874,984.6401600829101,985.6244459385337,1179324,TCS
2015-08-04,987.7901611328125,993.3415734162776,978.7741385306643,988.3807328173643,2342692,TCS
2015-08-05,1002.8493041992188,1003.971428361931,988.6165712222779,992.159999792967,988994,TCS
2015-08-06,1013.1452026367188,1016.9642127828814,1004.0110485213075,1009.8773541572168,2211366,TCS
2015-08-07,1004.7786254882812,1013.026921070176,1002.7903489956232,1013.026921070176,1188506,TCS
2015-08-10,1012.6729125976562,1019.3266479420373,1006.5703390004753,1012.6335027064194,1431182,TCS
2015-08-11,1025.3106689453125,1027.5942309049863,1000.8610707795267,1014.9953744341205,2200306,TCS
2015-08-12,1051.8863525390625,1059.6425041137527,1024.4444882765072,1024.877612404298,3479784,TCS
2015-08-13,1037.6737060546875,1056.729444473572,1006.3340015180514,1051.2174429003119,1406426,TCS
2015-08-14,1064.2886962890625,1070.6472412199626,1038.2642333585475,1038.618537853042,2293964,TCS
2015-08-17,1057.0244140625,1061.7686903645667,1045.311414223275,1059.1308239108191,773644,TCS
2015-08-18,1079.131591796875,1082.6750208428855,1059.09157041866,1065.7453042897248,1916926,TCS
2015-08-19,1076.2574462890625,1083.8364465454745,1071.6509120930361,1082.7143223445646,1690070,TCS
2015-08-20,1057.8515625,1080.7460161605213,1052.0048652753783,1080.7460161605213,2349298,TCS
2015-08-21,1053.638427734375,1074.800570199236,1045.3508190710377,1067.7531230642494,3536080,TCS
2015-08-24,1015.2514038085938,1041.3743876720175,1011.4915089092241,1039.0121017264478,4692344,TCS
2015-08-25,1010.7236938476562,1032.3189630839465,998.2626738746554,1018.893266114625,3925800,TCS
2015-08-26,1014.50341796875,1039.0121354495125,988.9907097042017,1007.1409790904281,3216158,TCS
2015-08-27,1013.676513671875,1029.5235147100168,1002.3179134579036,1029.5235147100168,5264798,TCS
2015-08-28,1012.1804809570312,1027.2006435631529,1007.0030800633174,1027.2006435631529,2744152,TCS
2015-08-31,1009.5034790039062,1019.7203489904972,996.5109031287377,1019.7203489904972,3692044,TCS
2015-09-01,999.0108032226562,1028.066942930692,996.0973553355611,1006.3339289477052,2987602,TCS
2015-09-02,1020.4288940429688,1031.7087719703923,1003.1841859085893,1007.7906246807743,3765950,TCS
